id;active;name;description;short_description;meta_title;meta_description;meta_keywords;image_url
11;1;ALPINESTARS;;;ALPINESTARS;;;http://bubumotos.com/data/fabricante/1340708555_alpinestars_logo.jpg
13;1;"CHUPA CHUPS";;;"CHUPA CHUPS";;;http://bubumotos.com/data/fabricante/chupachups800orig_1.jpg
14;1;BULTACO;;;BULTACO;;;http://bubumotos.com/data/fabricante/bultaco%20roja.jpg
15;1;LS2;;;LS2;;;http://bubumotos.com/data/fabricante/1340646070_ls2.jpg
16;1;"ON BOARD";;;"ON BOARD";;;http://bubumotos.com/data/fabricante/1340709159_onboard.jpg
17;1;UNIK;;;UNIK;;;http://bubumotos.com/data/fabricante/LOGO%20unik.jpg
18;1;"PROJECT ";;;"PROJECT ";;;http://bubumotos.com/data/fabricante/1339865759_PROJECT_FOR_SAFETY.jpg
20;1;LORENZO;;;LORENZO;;;http://bubumotos.com/data/fabricante/postit-logo-lorenzo.jpg
21;1;ROSSI;;;ROSSI;;;http://bubumotos.com/data/fabricante/valentino-rossi-46-logo.jpg
22;1;NZI;;;NZI;;;http://bubumotos.com/data/fabricante/Logo_NZI.jpg
23;1;HELIX;;;HELIX;;;http://bubumotos.com/data/fabricante/1339864561_helix-helmets.jpg
24;1;"MT HELMETS";;;"MT HELMETS";;;http://bubumotos.com/data/fabricante/LOGO%20MT.jpg
25;1;LOOWELL;;;LOOWELL;;;http://bubumotos.com/data/fabricante/logo_loowell_500.jpg
26;1;ONE;;;ONE;;;http://bubumotos.com/data/fabricante/1340729637_one-industries.jpg
27;1;PROGRIP;;;PROGRIP;;;http://bubumotos.com/data/fabricante/1339865822_c525LOGO_PROGRIP.jpg
28;1;UFO;;;UFO;;;http://bubumotos.com/data/fabricante/1340724100_LOFO_UFO.jpg
30;1;AGV;;;AGV;;;http://bubumotos.com/data/fabricante/logo%20AGV_moyen.jpg
31;1;ELECTRIC;;;ELECTRIC;;;http://bubumotos.com/data/fabricante/electric-logo.jpg
33;1;BIKERS;;;BIKERS;;;http://bubumotos.com/data/fabricante/
34;1;AXO;;;AXO;;;http://bubumotos.com/data/fabricante/1339863773_axo_logo.jpg
35;1;OJ;;;OJ;;;http://bubumotos.com/data/fabricante/1369994538_logo_oj.jpg
36;1;BADS;;;BADS;;;http://bubumotos.com/data/fabricante/gafas_sol_BADS83_C2.jpg
37;1;NOWAY;;;NOWAY;;;http://bubumotos.com/data/fabricante/gafas_sol_GEOR_C2.jpg
38;1;RAINERS;;;RAINERS;;;http://bubumotos.com/data/fabricante/1340729488_RAINERS.jpg
39;1;"XC TING";;;"XC TING";;;http://bubumotos.com/data/fabricante/1339867684_XC_jpg.jpg
40;1;SHOEI;;;SHOEI;;;http://bubumotos.com/data/fabricante/1339866750_74.jpg
42;1;MOTUL;;;MOTUL;;;http://bubumotos.com/data/fabricante/1339867034_LogoMOTUL.jpg
44;1;LEM;;;LEM;;;http://bubumotos.com/data/fabricante/1339864849_logo_LEM_thumb_l.jpg
45;1;HJC;;;HJC;;;http://bubumotos.com/data/fabricante/1339864580_logo_hjc.jpg
46;1;"NO FEAR";;;"NO FEAR";;;http://bubumotos.com/data/fabricante/1339865083_No_Fear_MX-1.jpg
47;1;ZEIBE;;;ZEIBE;;;http://bubumotos.com/data/fabricante/
49;1;OAKLEY;;;OAKLEY;;;http://bubumotos.com/data/fabricante/1339865178_logo-oakley.jpg
50;1;LUMA;;;LUMA;;;http://bubumotos.com/data/fabricante/1339865003_Luma_Logo.jpg
51;1;SUOMY;;;SUOMY;;;http://bubumotos.com/data/fabricante/1339866038_LogoSuomy_BYs9exQnht50.jpg
52;1;"ON BRAIN";;;"ON BRAIN";;;http://bubumotos.com/data/fabricante/1340709352_onbrain-logo[1].jpg
53;1;DEGEND;;;DEGEND;;;http://bubumotos.com/data/fabricante/1340708619_degend.jpg
55;1;SHAD;;;SHAD;;;http://bubumotos.com/data/fabricante/1339865912_logo_shad.jpg
56;1;BUX;;;BUX;;;http://bubumotos.com/data/fabricante/1339864018_bux_03_(2).jpg
57;1;"TUCANO URBANO";;;"TUCANO URBANO";;;http://bubumotos.com/data/fabricante/1339866122_tucano_urbano_logo_general.jpg
58;1;ASTONE;;;ASTONE;;;http://bubumotos.com/data/fabricante/1339864267_logo-ASTONE-grand-drapeau_(1).jpg
59;1;ACERBIS;;;ACERBIS;;;http://bubumotos.com/data/fabricante/1339863690_LOGO-ACERBIS-01-EDIT[1].jpg
61;1;CARDO;;;CARDO;;;http://bubumotos.com/data/fabricante/1339864214_1104-hrbp-01-z+cardo-systems-announces-upgrade-to-scala-rider-g4+cardo-logo.jpg
62;1;A-STYLE;;;A-STYLE;;;http://bubumotos.com/data/fabricante/1339538569_a-style-e28093-really-classy.jpg
63;1;VQUATTRO;;;VQUATTRO;;;http://bubumotos.com/data/fabricante/1339867267_images_(1).jpg
64;1;GIVI;;;GIVI;;;http://bubumotos.com/data/fabricante/1339864477_logo_givi.jpg
65;1;LIGHTECH;;;LIGHTECH;;;http://bubumotos.com/data/fabricante/1339864970_nuovo-logo-lightech.jpg
66;1;ZEUS;;;ZEUS;;;http://bubumotos.com/data/fabricante/
67;1;ORIGINE;;;ORIGINE;;;http://bubumotos.com/data/fabricante/1339865337_Origine_Home_m.jpg
68;1;ROOF;;;ROOF;;;http://bubumotos.com/data/fabricante/1339866021_Roof.jpg
69;1;BERING;;;BERING;;;http://bubumotos.com/data/fabricante/1339863956_Bering-logo-A54D2EFF39-seeklogo.com.jpg
70;1;"CABERG ";;;"CABERG ";;;http://bubumotos.com/data/fabricante/1339864161_Caberg_Logo.jpg
71;1;"M ROBERTS";;;"M ROBERTS";;;http://bubumotos.com/data/fabricante/1339865046_78436510.jpg
72;1;MOTS;;;MOTS;;;http://bubumotos.com/data/fabricante/1339867553_image.jpg
73;1;ZEIBE;;;ZEIBE;;;http://bubumotos.com/data/fabricante/1339867301_logo_zeibe.jpg
74;1;CGM;;;CGM;;;http://bubumotos.com/data/fabricante/1341493594_logo-CGM.jpg
75;1;HEBO;;;HEBO;;;http://bubumotos.com/data/fabricante/1342537999_scooterdecal_06__27321.jpg
