product_id;attribute;value;quantity
42;"Talla Cascos:select:0,Color:color:1";XS:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"XS:0,NEGRO MATE:1";0
42;"Talla Cascos:select:0,Color:color:1";"XS:0,NEGRO BRILLO:1";0
42;"Talla Cascos:select:0,Color:color:1";S:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"S:0,NEGRO MATE:1";0
42;"Talla Cascos:select:0,Color:color:1";"S:0,NEGRO BRILLO:1";1
42;"Talla Cascos:select:0,Color:color:1";M:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"M:0,NEGRO MATE:1";0
42;"Talla Cascos:select:0,Color:color:1";"M:0,NEGRO BRILLO:1";0
42;"Talla Cascos:select:0,Color:color:1";L:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"L:0,NEGRO MATE:1";0
42;"Talla Cascos:select:0,Color:color:1";"L:0,NEGRO BRILLO:1";0
42;"Talla Cascos:select:0,Color:color:1";XL:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"XL:0,NEGRO MATE:1";1
42;"Talla Cascos:select:0,Color:color:1";"XL:0,NEGRO BRILLO:1";0
42;"Talla Cascos:select:0,Color:color:1";XS:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"XS:0,NEGRO MATE:1";0
42;"Talla Cascos:select:0,Color:color:1";"XS:0,NEGRO BRILLO:1";0
42;"Talla Cascos:select:0,Color:color:1";S:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"S:0,NEGRO MATE:1";0
42;"Talla Cascos:select:0,Color:color:1";"S:0,NEGRO BRILLO:1";1
42;"Talla Cascos:select:0,Color:color:1";M:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"M:0,NEGRO MATE:1";0
42;"Talla Cascos:select:0,Color:color:1";"M:0,NEGRO BRILLO:1";0
42;"Talla Cascos:select:0,Color:color:1";L:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"L:0,NEGRO MATE:1";0
42;"Talla Cascos:select:0,Color:color:1";"L:0,NEGRO BRILLO:1";0
42;"Talla Cascos:select:0,Color:color:1";XL:0,BLANCO:1;0
42;"Talla Cascos:select:0,Color:color:1";"XL:0,NEGRO MATE:1";1
42;"Talla Cascos:select:0,Color:color:1";"XL:0,NEGRO BRILLO:1";0
49;"Talla Cascos:select:0,Color:color:1";"XS:0,NEGRO MATE:1";0
49;"Talla Cascos:select:0,Color:color:1";"XS:0,NEGRO MATE:1";0
50;"Talla Cascos:select:0,Color:color:1";S:0,*:1;0
50;"Talla Cascos:select:0,Color:color:1";L:0,*:1;-1
50;"Talla Cascos:select:0,Color:color:1";S:0,*:1;0
50;"Talla Cascos:select:0,Color:color:1";L:0,*:1;-1
52;"Talla Cascos:select:0,Color:color:1";XS:0,ROJO:1;0
52;"Talla Cascos:select:0,Color:color:1";S:0,ROJO:1;0
52;"Talla Cascos:select:0,Color:color:1";M:0,ROJO:1;0
52;"Talla Cascos:select:0,Color:color:1";L:0,ROJO:1;0
52;"Talla Cascos:select:0,Color:color:1";XL:0,ROJO:1;0
52;"Talla Cascos:select:0,Color:color:1";XS:0,ROJO:1;0
52;"Talla Cascos:select:0,Color:color:1";S:0,ROJO:1;0
52;"Talla Cascos:select:0,Color:color:1";M:0,ROJO:1;0
52;"Talla Cascos:select:0,Color:color:1";L:0,ROJO:1;0
52;"Talla Cascos:select:0,Color:color:1";XL:0,ROJO:1;0
55;"Talla Cascos:select:0,Color:color:1";XS:0,*:1;0
55;"Talla Cascos:select:0,Color:color:1";XS:0,*:1;0
56;"Talla Cascos:select:0,Color:color:1";XS:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"XS:0,NEGRO BRILLO:1";0
56;"Talla Cascos:select:0,Color:color:1";S:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"S:0,NEGRO BRILLO:1";0
56;"Talla Cascos:select:0,Color:color:1";M:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"M:0,NEGRO BRILLO:1";0
56;"Talla Cascos:select:0,Color:color:1";L:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"L:0,NEGRO BRILLO:1";0
56;"Talla Cascos:select:0,Color:color:1";XL:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"XL:0,NEGRO BRILLO:1";0
56;"Talla Cascos:select:0,Color:color:1";XS:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"XS:0,NEGRO BRILLO:1";0
56;"Talla Cascos:select:0,Color:color:1";S:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"S:0,NEGRO BRILLO:1";0
56;"Talla Cascos:select:0,Color:color:1";M:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"M:0,NEGRO BRILLO:1";0
56;"Talla Cascos:select:0,Color:color:1";L:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"L:0,NEGRO BRILLO:1";0
56;"Talla Cascos:select:0,Color:color:1";XL:0,BLANCO:1;0
56;"Talla Cascos:select:0,Color:color:1";"XL:0,NEGRO BRILLO:1";0
57;"Talla Cascos:select:0,Color:color:1";M:0,BLANCO:1;0
57;"Talla Cascos:select:0,Color:color:1";M:0,BLANCO:1;0
58;"Talla Cascos:select:0,Color:color:1";"XS:0,NEGRO MATE:1";0
58;"Talla Cascos:select:0,Color:color:1";"S:0,NEGRO MATE:1";1
58;"Talla Cascos:select:0,Color:color:1";"M:0,NEGRO MATE:1";2
58;"Talla Cascos:select:0,Color:color:1";"L:0,NEGRO MATE:1";2
