product_id;attribute;value;quantity
1608;"Talla Cascos:select:0,Color:color:1";"XL:0,NEGRO BRILLO:1";0
1608;"Talla Cascos:select:0,Color:color:1";XL:0,TITANIUM:1;0
1608;"Talla Cascos:select:0,Color:color:1";2XL:0,GRIS:1;0
1608;"Talla Cascos:select:0,Color:color:1";2XL:0,BLANCO:1;0
1608;"Talla Cascos:select:0,Color:color:1";"2XL:0,NEGRO MATE:1";0
1608;"Talla Cascos:select:0,Color:color:1";"2XL:0,NEGRO BRILLO:1";0
1608;"Talla Cascos:select:0,Color:color:1";2XL:0,TITANIUM:1;0
1609;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";2XL:0,NEGRO/GRIS:1;0
1609;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";3XL:0,NEGRO/GRIS:1;-1
1609;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";2XL:0,NEGRO/GRIS:1;0
1609;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";3XL:0,NEGRO/GRIS:1;-1
1610;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";"05 M:0,NEGRO:1";0
1610;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";"05 M:0,NEGRO:1";0
1611;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";XS:0,NEGRO:1;1
1611;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";"06 L:0,NEGRO:1";1
1611;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";2XL:0,NEGRO:1;1
1611;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";XS:0,NEGRO:1;1
1611;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";"06 L:0,NEGRO:1";1
1611;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";2XL:0,NEGRO:1;1
1612;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";XS:0,BLANCO:1;0
1612;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";"04 S:0,BLANCO:1";0
1612;"Talla Chaquetas, Petos, Guantes:select:0,Color:color:1";"05 M:0,BLANCO:1";-1
