id;active;name;categories;price;tax_rules_ID;wholesale_price;on_sale;discount_amount;discount_percent;discount_from;discount_to;reference;supplier_reference;supplier;manufacturer;EAN13;UPC;ecotax;width;height;depth;weight;quantity;minimal_quantity;visibility;additional_shipping_cost;unity;unit_price;short_description;description;tags;meta_title;meta_keywords;meta_description;url_rewrite;text_when_in_stock;text_when_backorder_allowed;available_for_order;product_available_date;product_creation_date;show_price;image_urls;delete_existing_images;feature;available_online_only;condition_;customizable;uploadable;text_fields;out_of_stock;shop_id;advanced_stock_management;depends_on_stock;warehouse
42;1;"ASTRON 600 MN";7,40;100.826446;1;;0;NULL;NULL;;;;;;22;;;;;;;;2;1;;;;;;"<p>Carcasa externa de composite de fibras.Relleno protector multidensidad.<br /> Cierre rapido micrometrico.Pantalla 3 D homologada (antivaho ). Equipamiento de serie:<br /> Ventilaci&oacute;n frontal, protecci&oacute;n nasal. Interior extra&iacute;ble y lavable.</p>";ciudad,carretera,;"ASTRON 600 MN";;;casco-integral-nzi-astron-600-mn;"En stock";"Bajo pedido";1;2009-02-03;2009-02-03;1;http://bubumotos.com/data/producto/grande/1382976317_astron-600-mb.jpg,http://bubumotos.com/data/producto/grande/astron_600_mn.jpg,http://bubumotos.com/data/producto/grande/astron_600_gn.jpg;1;;0;;0;0;0;0;1;0;0;0
52;0;"VITESSE II";36;176.859504;1;;0;NULL;NULL;;;;;;22;;;;;;;;0;1;;;;;;"<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Casco mod. VITESSE II Carcasa externa&nbsp; de composite de fibras. Relleno protector multidensidad </span></span></span><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Cierre rapido micrometrico.bubumotos.Pantalla 3D homologada Antivaho.Equipamiento de serie</span></span></span><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';""> .Ventilaci&oacute;n Frontal , superior y lateral + extractores traseros,interior extra&iacute;ble y lavable,almohadillas</span></span></span><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';""> laterales GP1 Protecci&oacute;n nasal , seguro de cierre de pantalla .Visor solar&nbsp; </span></span></span></p>
<p class=""MsoNormal"" style=""margin: 0cm -42.8pt 0pt -45pt;""><span style=""font-size: 9pt;""><span style=""color: #000000; font-family: 'Times New Roman';"">&nbsp;</span></span></p>";carretera,;"VITESSE II";;;casco-jet-nzi-vitesse-ii;"En stock";"Bajo pedido";1;2010-03-30;2010-03-30;1;http://bubumotos.com/data/producto/grande/vitesse_ii_br.jpg,http://bubumotos.com/data/producto/grande/vitesse_ii_interior.jpg,http://bubumotos.com/data/producto/grande/vitesse_ii_br_back.jpg;1;;0;;0;0;0;0;1;0;0;0
55;0;"SPYDER III";40;230.578512;1;;1;80.00;28.673835;;;;;;22;;;;;;;;0;1;;;;;;"<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Carcasa externa ultraligera de composite de fibras. Relleno protector multidensidad</span></span></span><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">.Cierre con anillas. Pantalla plana homologada (antivaho certificado) Equipamiento de serie; Ventilaci&oacute;n.</span></span></span><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Frontal , superior y lateral + extractores traseros,interior extra&iacute;ble y lavable,almohadillas laterales GP1.</span></span></span><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Protecci&oacute;n nasal , seguro de cierre de pantalla .</span></span></span></p>";carretera,;"SPYDER III";;;casco-integral-nzi-spyder-iii;"En stock";"Bajo pedido";1;2010-03-30;2010-03-30;1;http://bubumotos.com/data/producto/grande/SPYDER_III_GN-500x500.jpg,http://bubumotos.com/data/producto/grande/SPYDER_III_GN.jpg,http://bubumotos.com/data/producto/grande/SPYDER_III_BRN-500x500.jpg;1;;0;;0;0;0;0;1;0;0;0
56;1;"VITESSE II";40;190.082645;1;;0;NULL;NULL;;;;;;22;;;;;;;;0;1;;;;;;"<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Casco mod<strong>. VITESSE II</strong> .Carcasa externa ultraligera de composite de fibras. Relleno protector </span></span></span><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Multidensidad. Cierre rapido micrometrico.Pantalla 3D homologada Antivaho.Equipamiento de serie</span></span></span><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">. bubumotos.Ventilaci&oacute;n Frontal , superior y lateral + extractores traseros,</span></span></span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">interior extra&iacute;ble y lavable,almohadillas</span></span></span><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">.laterales GP1 Protecci&oacute;n nasal , seguro de cierre de pantalla. </span></span></span></p>";carretera,;"VITESSE II";;;casco-integral-nzi-vitesse-ii;"En stock";"Bajo pedido";1;2010-03-30;2010-03-30;1;http://bubumotos.com/data/producto/grande/VITESSE_II_BN_lateral-500x500.jpg,http://bubumotos.com/data/producto/grande/VITESSE_II_NR_frontal-500x500.jpg;1;;0;;0;0;0;0;1;0;0;0
58;1;"CELEBRITIES SOB";7,36;61.983471;1;;0;NULL;NULL;;;;;;23;;;;;;;;6;1;;;;;;"<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><strong><span style=""font-size: 12px;""><span style=""color: #000000;"">Casco CELEBRITIES SOB Jet vintage en piel sint&eacute;tica.<br /></span></span></strong></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><strong><span style=""font-size: 12px;""><span style=""color: #000000;""><br /></span></span></strong></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><strong><span style=""font-size: 12px;""><span style=""color: #000000;"">El modelo Celebrities Sob de Helix es un casco Jet en color negro, con acabado en piel sint&eacute;tica de l&iacute;nea cl&aacute;sica y elegante dise&ntilde;o. Est&aacute; fabricado en resina termopl&aacute;stica, con relleno protector multidensidad, pantalla 3D antiara&ntilde;azos y cierre r&aacute;pido microm&eacute;trico. </span></span></strong></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><strong><span style=""font-size: 12px;""><span style=""color: #000000;""><br /></span></span></strong></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""text-decoration: underline;""><strong><span style=""font-size: 12px;""><span style=""color: #000000; text-decoration: underline;"">Caracter&iacute;sticas: </span></span></strong></span></p>
<ul>
<li class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;"">Carcasa externa de resina termopl&aacute;stica. </span></span></li>
<li class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;"">Relleno protector multidensidad. </span></span></li>
<li class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;"">Pantalla 3D con tratamiento antiara&ntilde;azos. </span></span></li>
<li class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;"">Almohadillas laterales desmontables. </span></span></li>
<li class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;"">Cierre r&aacute;pido microm&eacute;trico. </span></span></li>
</ul>";ciudad,;"CELEBRITIES SOB";;;casco-jet-helix-celebrities-sob;"En stock";"Bajo pedido";1;2010-04-06;2010-04-06;1;http://bubumotos.com/data/producto/grande/1426593216_58_helix-celebrities-sob_bubumotos.jpg,http://bubumotos.com/data/producto/grande/1426593241_58_helix-celebrities-sob_bubumotos_3.jpg,http://bubumotos.com/data/producto/grande/1426593232_58_helix-celebrities-sob_bubumotos_2.jpg;1;;0;;0;0;0;0;1;0;0;0
60;0;"CONVERT III";38;128.099174;1;;0;NULL;NULL;;;;;;22;;;;;;;;0;1;;;;;;"<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Casco mod. <strong>CONVERT III</strong> Carcasa externa de resina termoplastica . Relleno protector multidensidad</span></span></span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Cierre rapido micrometrico.Pantalla 3D homologada ( Antivaho) .Equipamiento de serie Ventilaci&oacute;n </span></span></span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 12px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">frontal y&nbsp; lateral + estractor trasero, interior extra&iacute;ble y lavable, protector nasal.</span></span></span></p>";ciudad,carretera,;"CONVERT III";;;casco-modular-nzi-convert-iii;"En stock";"Bajo pedido";1;2010-04-06;2010-04-06;1;http://bubumotos.com/data/producto/grande/CONVERT_III_PHGN.jpg,http://bubumotos.com/data/producto/grande/CONVERT_III_PHMN.jpg,http://bubumotos.com/data/producto/grande/CONVERT_III_PHMB.jpg,http://bubumotos.com/data/producto/grande/CONVERT_III_PHMAN.jpg;1;;0;;0;0;0;0;1;0;0;0
63;0;STARTECH;36;160.330579;1;;0;NULL;NULL;;;;;;22;;;;;;;;0;1;;;;;;"<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Carcasa externa ultraligera de composite de fibras. Relleno protector multidensidad.</span></span></span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Cierre rapido Micrometrico,Pantalla 3D anti &ndash;rayas. </span></span><br /> </span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Equipamiento de serie: almoadillas laterales desmontables interior extra&iacute;ble.</span></span></span></p>";ciudad,;STARTECH;;;casco-jet-nzi-startech;"En stock";"Bajo pedido";1;2010-04-07;2010-04-07;1;http://bubumotos.com/data/producto/grande/startech_cb_lat-500x500.jpg,http://bubumotos.com/data/producto/grande/startech_cr-500x500.jpg,http://bubumotos.com/data/producto/grande/startech_cb_tras-500x500.jpg,http://bubumotos.com/data/producto/grande/startech_cb_frontal-500x500.jpg;1;;0;;0;0;0;0;1;0;0;0
71;0;FLOW;36;81.818182;1;;0;NULL;NULL;;;;;;22;;;;;;;;0;1;;;;;;"<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Carcasa externa de resina termoplastica.relleno protector multi-densidad.Cierre rapido</span></span></span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">micrometrico.Pantalla 3D antirayas&nbsp; Equipamiento de serie:Almohadillas laterales desmontables</span></span></span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 14px;""><span style=""color: #000000;""><span style=""font-family: 'Times New Roman';"">Interior extra&iacute;ble y lavable</span></span></span></p>";ciudad,;FLOW;;;casco-jet-nzi-flow;"En stock";"Bajo pedido";1;2010-04-09;2010-04-09;1;http://bubumotos.com/data/producto/grande/flow_gm-500x500.jpg,http://bubumotos.com/data/producto/grande/flow_mna-500x500.jpg;1;;0;;0;0;0;0;1;0;0;0
79;1;"OF518 MIDWAY NE BR";36;37.190083;1;;1;1.00;2.222222;;;;;;15;;;;;;;;6;1;;;;;;"<p>Casc per a moto scooter. Casc jet.Tancament de sistema r&agrave;pid amb hebilla i corretja de la barbeta suau.Teixits comodos amb un tractament d'higiene.Visor transparent. Interior acolchado totalment lavable</p>";ciudad,;"OF518 MIDWAY NE BR";;;casco-jet-ls2-of518-midway-ne-br;"En stock";"Bajo pedido";1;2010-04-12;2010-04-12;1;http://bubumotos.com/data/producto/grande/30518_21_12_gloss_black_midway-500x500.jpg,http://bubumotos.com/data/producto/grande/foto1_59.jpg;1;;0;;0;0;0;0;1;0;0;0
87;1;"FIBRUP, SUNVISOR";38;187.603306;1;;0;NULL;NULL;;;;;;22;;;;;;;;0;1;;;;;;"<p>&nbsp;</p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 9pt;"">Carcasa externa ultraligera de composite de fibras. Relleno protector multidensidad</span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 9pt;"">Cierre rapido micrometrico. Pantalla 3D homologada visor solar integrado,Ventilaci&oacute;n</span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 9pt;"">frontal y superior extractores traseros,interior extra&iacute;ble y lavable,almohadillasextraibles</span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 9pt;"">y lavables protector nasal , mentonera de fibra de vidrio</span></p>
<p class=""MsoNormal"" style=""margin-top: 0cm; margin-bottom: 0pt; margin-right: -42.8pt;""><span style=""font-size: 9pt;"">Preinstalacion para sistema de comunicaci&oacute;n</span>.</p>";ciudad,carretera,;"FIBRUP, SUNVISOR";;;casco-modular-nzi-fibrup-sunvisor;"En stock";"Bajo pedido";1;2010-04-13;2010-04-13;1;http://bubumotos.com/data/producto/grande/FIBRUP_GN.jpg,http://bubumotos.com/data/producto/grande/FIBRUP_PHMBN.jpg,http://bubumotos.com/data/producto/grande/FIBRUP_PHMBN_open.jpg,http://bubumotos.com/data/producto/grande/FIBRUP_MN.jpg;1;;0;;0;0;0;0;1;0;0;0
